,altitude,ac,solrad,lat,longitude
334,6.0,3292.964875392547,2.882716474138229,-29.0118,153.4335
335,53.0,3332.836655347189,2.940329513946369,-31.9863,141.4203
336,53.0,3332.836655347189,2.940329513946369,-31.9867,141.3915
337,141.0,3133.281137794072,2.682566091523829,-37.818,144.8319
338,9.0,4410.93081884376,4.002097963878174,-17.981,122.2046
339,580.0,3198.681404928581,2.807317351622364,-36.5951,149.474
340,5.0,3579.673154563544,3.145408064434887,-27.6721,153.0663
341,5.0,3579.673154563544,3.145408064434887,-27.4036,153.1363
342,168.0,3651.583657651684,3.249685810408649,-32.427,137.838
343,168.0,3651.583657651684,3.249685810408649,-32.408,137.841
344,948.0,3460.887707250895,2.953951160942544,-32.6646,149.108
345,1483.0,3387.401333528381,2.85803146992274,-35.0025,148.5834
346,9.0,4419.469084479368,4.035474428562345,-20.6286,116.7821
347,9.0,4419.469084479368,4.035474428562345,-20.5937,116.7802
348,4.0,2895.143035566626,2.488338695175443,-42.2669,146.2618
349,8.0,3193.330804846107,2.801819407285434,-32.8835,151.7275
350,14.0,3759.15789213281,3.380278811117309,-24.334,150.628
351,14.0,3759.15789213281,3.380278811117309,-24.3449,150.6197
352,14.0,3759.15789213281,3.380278811117309,-24.3449,150.6182
353,14.0,3759.15789213281,3.380278811117309,-24.3449,150.6197
354,14.0,3759.15789213281,3.380278811117309,-24.3449,150.6182
355,9.0,4410.93081884376,4.002097963878174,-18.0278,124.1621
356,29.0,3760.511246526778,3.275280740898044,-32.0739,115.8914
357,341.0,4076.193760397636,3.764960944453664,-21.8601,140.9158
358,69.0,3029.04075809585,2.595945118411088,-37.7603,140.4033
359,69.0,3029.04075809585,2.595945118411088,-38.3577,141.385
360,9.0,4419.469084479368,4.035474428562345,-20.6488,117.1407
361,69.0,3029.04075809585,2.595945118411088,-38.3676,141.543
362,69.0,3029.04075809585,2.595945118411088,-38.412,141.543
363,6.0,4665.477906732523,4.180516909744109,-21.0767,116.159
364,71.0,3019.465903832236,2.576703243899413,-38.3976,141.6209
365,580.0,3198.681404928581,2.807317351622364,-35.166,149.5186
366,8.0,3193.330804846107,2.801819407285434,-32.7897,151.4813
367,8.0,4355.926225695627,3.81791069315552,-24.8692,113.6754
368,4.0,2895.143035566626,2.488338695175443,-42.4524,146.5977
369,168.0,3651.583657651684,3.249685810408649,-34.8509,135.5852
370,370.0,3605.482309807933,3.202745880588444,-30.3808,121.1635
371,4.0,2895.143035566626,2.488338695175443,-41.4787,146.1349
372,436.0,3190.447871747338,2.733055692742302,-37.3898,143.114
373,35.0,4312.508860254687,3.896302944338919,-12.555,130.8666
374,8.0,3193.330804846107,2.801819407285434,-32.9643,151.6936
375,31.0,3440.142775551284,3.097184608842262,-25.28,152.38
376,524.0,4039.174114554011,3.741111577936549,-22.399,119.732
377,9.0,4181.268939277345,3.7251887661066,-19.8398,147.2105
378,13.0,3073.187334841311,2.621943973552499,-37.9502,145.1187
379,4.0,3448.913973599107,2.979628013577106,-33.5086,138.1192
380,36.0,4162.279646875031,3.698999644113928,-22.8446,147.5855
381,524.0,4039.174114554011,3.741111577936549,-22.3247,119.404
382,8.0,3088.671872272063,2.65590746422723,-36.7853,147.2205
383,4.0,2895.143035566626,2.488338695175443,-42.5064,146.6812
384,20.0,3647.623414663314,3.167075710109376,-32.2001,115.7737
385,71.0,3019.465903832236,2.576703243899413,-38.2835,141.9547
386,321.0,3551.128651931948,3.148823301934259,-31.5432,118.4566
387,287.0,3709.837789099867,3.169811443792172,-33.331,116.229
388,287.0,3709.837789099867,3.169811443792172,-33.3422,116.2612
389,9.0,4181.268939277345,3.7251887661066,-20.5447,147.8049
390,9.0,4181.268939277345,3.7251887661066,-20.5411,147.8074
391,8.0,3193.330804846107,2.801819407285434,-33.2099,151.5448
392,218.0,3735.256297233138,3.350722250912214,-26.6682,150.27
393,5.0,3579.673154563544,3.145408064434887,-28.3138,153.4341
394,1081.0,3579.277576098959,3.129353522179626,-29.9102,150.9235
395,6.0,4665.477906732523,4.180516909744109,-23.1521,113.7762
396,141.0,3133.281137794072,2.682566091523829,-38.0587,144.4056
397,580.0,3198.681404928581,2.807317351622364,-34.5165,149.5425
398,436.0,3190.447871747338,2.733055692742302,-37.1216,143.1537
399,580.0,3198.681404928581,2.807317351622364,-34.805,149.4001
400,407.0,3536.122191729276,3.143425392571506,-27.0863,150.943
401,9.0,4419.469084479368,4.035474428562345,-20.648,116.7219
402,407.0,3536.122191729276,3.143425392571506,-27.1169,150.8942
404,407.0,3536.122191729276,3.143425392571506,-27.1169,150.8942
406,370.0,3605.482309807933,3.202745880588444,-27.8972,121.2698
407,213.0,3262.512359005302,2.875886886275691,-36.5564,147.5206
408,35.0,4312.508860254687,3.896302944338919,-12.4157,130.8908
409,9.0,4181.268939277345,3.7251887661066,-20.4947,147.7707
410,519.0,3982.373038845037,3.598864320709914,-25.55,119.317
411,8.0,4355.926225695627,3.81791069315552,-25.9167,113.534
412,9.0,4410.93081884376,4.002097963878174,-17.3141,123.6441
413,4.0,2895.143035566626,2.488338695175443,-41.3505,146.2632
414,341.0,4076.193760397636,3.764960944453664,-20.7837,139.4833
415,51.0,3321.996683444321,2.916697768635013,-34.8475,138.5818
416,285.0,3438.61598708255,3.040079320199579,-32.273,148.658
417,5.0,2959.668481730226,2.592347944324681,-33.8204,151.042
418,20.0,3119.728432808294,2.772559216840632,-33.8142,150.8537
419,20.0,3119.728432808294,2.772559216840632,-33.8125,150.8617
420,13.0,3073.187334841311,2.621943973552499,-37.222,145.9215
421,13.0,3073.187334841311,2.621943973552499,-37.2431,145.8974
422,377.0,4179.679849786979,3.834736626609134,-17.5504,133.5393
423,36.0,4162.279646875031,3.698999644113928,-23.5084,148.1347
424,20.0,3647.623414663314,3.167075710109376,-30.489,115.416
425,20.0,3647.623414663314,3.167075710109376,-30.4882,115.3768
426,8.0,3088.671872272063,2.65590746422723,-38.2546,146.4137
427,8.0,3193.330804846107,2.801819407285434,-33.0617,151.5223
428,27.0,3387.934179002634,2.912575803855319,-33.8762,121.8998
429,27.0,3387.934179002634,2.912575803855319,-33.8927,121.7778
430,27.0,3387.934179002634,2.912575803855319,-33.8802,121.769
431,6.0,4665.477906732523,4.180516909744109,-21.9465,114.125
432,4.0,2895.143035566626,2.488338695175443,-41.6732,146.2687
433,424.0,4178.382167116029,3.885837003981115,-18.1956,125.5597
434,436.0,3190.447871747338,2.733055692742302,-35.6762,143.4553
435,35.0,3976.611812892244,3.486693652944417,-28.7701,114.6485
436,36.0,4162.279646875031,3.698999644113928,-22.9281,148.5515
437,17.0,4017.125133823533,3.555705622437191,-23.8508,151.2187
438,20.0,3119.728432808294,2.772559216840632,-32.1097,150.9982
439,20.0,3119.728432808294,2.772559216840632,-32.4598,151.1286
440,51.0,2443.769838269234,2.11064677373285,-42.8415,147.255
441,218.0,3735.256297233138,3.350722250912214,-28.325,150.375
442,4.0,2895.143035566626,2.488338695175443,-42.7405,145.9828
443,20.0,3522.533348637491,3.105750828510416,-32.0228,116.0129
444,20.0,3119.728432808294,2.772559216840632,-33.7029,150.8312
445,69.0,3052.979180891866,2.621188887388082,-35.0507,117.7638
446,35.0,3976.611812892244,3.486693652944417,-28.9043,115.1119
447,264.0,3498.714549286166,3.142255758119285,-34.3155,146.1094
448,580.0,3198.681404928581,2.807317351622364,-34.61,-68.6136
449,580.0,3198.681404928581,2.807317351622364,-34.61,149.476
450,580.0,3198.681404928581,2.807317351622364,-34.6149,149.4597
451,580.0,3198.681404928581,2.807317351622364,-34.6977,149.3861
452,1368.0,3287.062998730501,2.804229880698543,-36.3501,148.4135
453,13.0,3073.187334841311,2.621943973552499,-38.0535,145.2699
454,51.0,3321.996683444321,2.916697768635013,-33.3855,138.7928
455,51.0,3321.996683444321,2.916697768635013,-33.3487,138.7517
456,51.0,3321.996683444321,2.916697768635013,-33.3397,138.7323
457,701.0,3473.398903761286,2.932511068971167,-33.5226,138.8552
